Date,Team,xG,xA,xPTS,match_or_not
04/12/2021,Brighton,1.49,1.34,1.51,1
04/12/2021,Chelsea,1.37,2.02,0.88,1
04/12/2021,Burnley,0.60,1.71,0.52,1
04/12/2021,Wolverhampton Wanderers,0.10,2.42,0.07,1
04/12/2021,Watford,0.68,4.03,0.08,1
05/12/2021,Tottenham,2.01,1.07,2.07,1
05/12/2021,Aston Villa,1.85,0.98,2.03,1
05/12/2021,Manchester United,0.87,0.52,1.62,1
05/12/2021,Brentford,1.20,1.42,1.16,1
05/12/2021,Leeds,1.42,1.20,1.54,1
05/12/2021,Leicester,0.98,1.85,0.74,1
05/12/2021,Crystal Palace,0.52,0.87,1.00,1
05/12/2021,Norwich,1.07,2.01,0.69,1
06/12/2021,Everton,1.06,1.06,1.34,1
06/12/2021,Arsenal,1.06,1.06,1.35,1
10/12/2021,Brentford,1.83,0.56,2.43,1
10/12/2021,Watford,0.56,1.83,0.38,1
11/12/2021,Arsenal,2.08,0.50,2.53,1
11/12/2021,Chelsea,2.75,1.73,2.10,1
11/12/2021,Liverpool,2.71,0.14,2.91,1
11/12/2021,Manchester City,3.00,0.08,2.94,1
11/12/2021,Manchester United,2.10,0.99,2.26,1
11/12/2021,Leeds,1.73,2.75,0.68,1
11/12/2021,Aston Villa,0.14,2.71,0.05,1
11/12/2021,Norwich,0.99,2.10,0.54,1
11/12/2021,Wolverhampton Wanderers,0.08,3.00,0.03,1
11/12/2021,Southampton,0.50,2.08,0.32,1
12/12/2021,Leicester,2.06,0.51,2.60,1
12/12/2021,Crystal Palace,2.10,1.28,2.00,1
12/12/2021,West Ham,1.00,0.55,1.74,1
12/12/2021,Burnley,0.55,1.00,0.91,1
12/12/2021,Everton,1.28,2.10,0.77,1
12/12/2021,Newcastle United,0.51,2.06,0.26,1
14/12/2021,Manchester City,3.31,0.23,2.92,1
14/12/2021,Aston Villa,1.96,0.50,2.58,1
14/12/2021,Norwich,0.50,1.96,0.26,1
14/12/2021,Leeds,0.23,3.31,0.05,1
15/12/2021,Arsenal,2.81,0.34,2.85,1
15/12/2021,Wolverhampton Wanderers,1.12,1.20,1.22,1
15/12/2021,Southampton,0.63,1.49,0.64,1
15/12/2021,Crystal Palace,1.49,0.63,2.11,1
15/12/2021,Brighton,1.20,1.12,1.45,1
15/12/2021,West Ham,0.34,2.81,0.09,1
16/12/2021,Liverpool,2.94,0.21,2.94,1
16/12/2021,Everton,0.63,3.20,0.12,1
16/12/2021,Chelsea,3.20,0.63,2.80,1
16/12/2021,Newcastle United,0.21,2.94,0.03,1
18/12/2021,Arsenal,3.69,1.31,2.70,1
18/12/2021,Leeds,1.31,3.69,0.21,1
19/12/2021,Manchester City,3.65,0.17,2.98,1
19/12/2021,Tottenham,2.80,1.55,2.27,1
19/12/2021,Liverpool,1.55,2.80,0.54,1
19/12/2021,Chelsea,0.79,0.32,1.81,1
19/12/2021,Wolverhampton Wanderers,0.32,0.79,0.78,1
19/12/2021,Newcastle United,0.17,3.65,0.01,1
26/12/2021,Arsenal,2.88,0.15,2.94,1
