,HomeTeam_0,HomeTeam_1,HomeTeam_2,HomeTeam_3,HomeTeam_4,HomeTeam_5,AwayTeam_0,AwayTeam_1,AwayTeam_2,AwayTeam_3,AwayTeam_4,AwayTeam_5,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS
66,0,1,0,0,0,1,0,0,1,1,1,1,A,5,2,4,7,0.8605851979345956,0.9301788805539527,0.28159261396422386,0.3580034423407918
67,0,0,1,0,0,1,0,0,0,0,0,1,D,5,2,5,4,1.1790017211703958,0.8909405654933641,1.2740911713791114,0.7848537005163511
68,0,0,0,1,1,0,0,0,0,1,0,1,D,4,3,9,3,0.41308089500860584,0.482400461627236,0.9394114252740912,0.9277108433734941
69,0,1,0,1,0,0,0,1,0,0,0,1,H,7,6,6,6,0.6867469879518072,0.8563185227928447,0.08078476630121176,0.20309810671256456
70,0,0,0,0,0,1,0,1,0,0,1,0,D,8,6,6,6,0.30808950086058523,0.4108482400461627,0.05077899596076168,0.06884681583476764
71,0,0,1,1,1,1,0,0,1,0,0,1,A,3,7,4,1,1.0413080895008606,0.9371032890940565,0.10848240046162723,0.1153184165232358
72,0,0,0,1,0,1,0,0,1,1,1,0,H,7,5,6,4,0.20137693631669537,0.22850548182342756,1.1563762261973456,0.9294320137693631
73,0,1,0,0,0,0,0,0,1,0,1,0,A,7,9,10,8,1.2805507745266782,0.7663012117714945,0.8147720715522215,0.9862306368330465
74,0,1,0,0,1,0,0,0,0,0,1,1,A,8,5,6,6,0.5989672977624785,0.6947489901904212,0.3485285631852279,0.4268502581755594
75,0,1,0,0,1,1,0,0,0,1,1,1,D,6,6,7,2,0.783132530120482,0.9786497403346797,0.023081361800346218,0.07056798623063684
76,0,0,1,0,1,1,0,0,1,1,0,1,H,5,4,3,11,1.4337349397590362,0.7593768032313907,1.4495095210617426,0.6936316695352841
77,0,0,0,0,1,0,0,0,1,0,1,1,H,5,2,3,1,1.3838209982788297,0.6878245816503173,1.3525678015002884,0.774526678141136
